Title,Genres,Total Play Time,Rating,Storage Required,Release Year,Developer,Publisher,Price
Apex Legends,"Racing, Open World",940.98,4.1,7,2023,EA,Nintendo,47.62
Dota Underlords,Adventure,582.95,7.9,65.6,2023,Rockstar Games,Bandai Namco,27.16
Counter-Strike: Global Offensive,First-person shooter,784.89,1.6,69.9,2019,CD Projekt Red,Bandai Namco,48.23
Grand Theft Auto V,Racing,706.69,7.8,97.8,2020,EA,Activision,16.69
PlayerUnknown's Battlegrounds,"Simulation, Strategy",733.71,6.6,12.5,2010,CD Projekt Red,Nintendo,44.86
Rocket League,Open World,729.29,7.3,26.2,2003,Nintendo,Capcom,15.5
The Witcher 3: Wild Hunt,"Simulation, Open World",28.26,9.1,12.9,2012,Bungie,Electronic Arts,51.52
Red Dead Redemption 2,"Adventure, Puzzle",564.9,1.3,53.5,2002,Ubisoft,Electronic Arts,30.18
Cyberpunk 2077,"MMORPG, First-person shooter",862.07,3.3,26.1,2013,CD Projekt Red,Bethesda,6.68
DOOM Eternal,Puzzle,395.37,3.8,58.6,2014,Nintendo,Sony,22.83
Stardew Valley,"Sports, Simulation",897.7,4,3.7,2015,Bethesda,Square Enix,2.11
Terraria,"Adventure, First-person shooter, Sports",841.99,6.7,44.4,2014,Valve,Nintendo,47.09
Dark Souls III,RPG,502.71,3,58.1,2015,Rockstar Games,Sony,30.42
Hades,"First-person shooter, Puzzle",691.96,5.5,34.8,2014,Bungie,Microsoft,23.17
Half-Life: Alyx,"RPG, MMORPG",939.11,9.1,36.1,2011,Epic Games,Capcom,25.01
Valheim,"Strategy, Sports, MMORPG",888.65,6.4,44.6,2003,Bungie,Microsoft,5.9
Among Us,Simulation,974.62,7,13.4,2006,BioWare,Microsoft,54.69
Rust,"First-person shooter, Sports",999.74,8.5,66.1,2010,BioWare,Sega,45
ARK: Survival Evolved,"Adventure, Simulation",939.92,4.9,35,2005,Valve,Nintendo,57.24
Fallout 4,"Simulation, RPG",627.47,1.3,13,2020,Nintendo,Bandai Namco,33.76
Sekiro: Shadows Die Twice,Sports,268.8,2.1,82.9,2008,EA,Nintendo,11.25
Hollow Knight,MMORPG,37.94,1.3,35.9,2009,Bungie,Nintendo,58.13
Slay the Spire,"Simulation, RPG, Puzzle",918.38,3.3,62.9,2019,Epic Games,Activision,25.17
Portal 2,"Racing, Adventure",896.51,5.7,50.7,2020,EA,Electronic Arts,43.53
Subnautica,"Simulation, Racing, Open World",417.64,4.6,35.3,2002,CD Projekt Red,Activision,14.81
Borderlands 3,"RPG, Puzzle, Strategy",593.78,9,15.9,2012,Ubisoft,Square Enix,5.9
Overwatch,MMORPG,34.98,2.7,60.6,2016,Nintendo,Bandai Namco,11.13
Fortnite,RPG,519.95,8.3,87.7,2020,Bungie,Electronic Arts,1.49
Minecraft,"MMORPG, First-person shooter, Racing",340.45,6.2,53.1,2008,Epic Games,Square Enix,55.7
The Elder Scrolls V: Skyrim,"Simulation, MMORPG",750.76,8.4,67.7,2004,EA,Microsoft,0.43
Left 4 Dead 2,"Open World, Sports",293.59,9.2,92.4,2006,Epic Games,Square Enix,8.96
Team Fortress 2,"Puzzle, MMORPG, First-person shooter",307.88,9.5,60.4,2020,Bethesda,Square Enix,16.14
Tom Clancy's Rainbow Six Siege,Adventure,405.63,1.9,40.5,2003,EA,Bandai Namco,15.23
BioShock Infinite,"MMORPG, Adventure",536.35,8.6,7.5,2004,Bungie,Bethesda,21.99
