Title,Genres,Total Play Time,Rating,Storage Required,Release Year,Developer,Publisher,Price, Adventure, First-person shooter, MMORPG, Open World, Puzzle, RPG, Racing, Simulation, Sports, Strategy,Adventure,First-person shooter,MMORPG,Open World,Puzzle,RPG,Racing,Simulation,Sports,Strategy, Adventure, First-person shooter, MMORPG, Open World, Puzzle, RPG, Racing, Simulation, Sports, Strategy,Adventure,First-person shooter,MMORPG,Open World,Puzzle,RPG,Racing,Simulation,Sports,Strategy, Adventure, First-person shooter, MMORPG, Open World, Puzzle, RPG, Racing, Simulation, Sports, Strategy,Adventure,First-person shooter,MMORPG,Open World,Puzzle,RPG,Racing,Simulation,Sports,Strategy, Adventure, First-person shooter, MMORPG, Open World, Puzzle, RPG, Racing, Simulation, Sports, Strategy,Adventure,First-person shooter,MMORPG,Open World,Puzzle,RPG,Racing,Simulation,Sports,Strategy
Apex Legends,"Racing, Open World",940.98,4.1,7.0,2023,EA,Nintendo,47.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dota Underlords,Adventure,582.95,7.9,65.6,2023,Rockstar Games,Bandai Namco,27.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Counter-Strike: Global Offensive,First-person shooter,784.89,1.6,69.9,2019,CD Projekt Red,Bandai Namco,48.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grand Theft Auto V,Racing,706.69,7.8,97.8,2020,EA,Activision,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PlayerUnknown's Battlegrounds,"Simulation, Strategy",733.71,6.6,12.5,2010,CD Projekt Red,Nintendo,44.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Rocket League,Open World,729.29,7.3,26.2,2003,Nintendo,Capcom,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Witcher 3: Wild Hunt,"Simulation, Open World",28.26,9.1,12.9,2012,Bungie,Electronic Arts,51.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Red Dead Redemption 2,"Adventure, Puzzle",564.9,1.3,53.5,2002,Ubisoft,Electronic Arts,30.18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyberpunk 2077,"MMORPG, First-person shooter",862.07,3.3,26.1,2013,CD Projekt Red,Bethesda,6.68,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOOM Eternal,Puzzle,395.37,3.8,58.6,2014,Nintendo,Sony,22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stardew Valley,"Sports, Simulation",897.7,4.0,3.7,2015,Bethesda,Square Enix,2.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Terraria,"Adventure, First-person shooter, Sports",841.99,6.7,44.4,2014,Valve,Nintendo,47.09,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dark Souls III,RPG,502.71,3.0,58.1,2015,Rockstar Games,Sony,30.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hades,"First-person shooter, Puzzle",691.96,5.5,34.8,2014,Bungie,Microsoft,23.17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Half-Life: Alyx,"RPG, MMORPG",939.11,9.1,36.1,2011,Epic Games,Capcom,25.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Valheim,"Strategy, Sports, MMORPG",888.65,6.4,44.6,2003,Bungie,Microsoft,5.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
